Term,Acronym,Category
Python,,Programming Languages
R,,Programming Languages
Java,,Programming Languages
C++,,Programming Languages
C#,,Programming Languages
JavaScript,JS,Programming Languages
TypeScript,TS,Programming Languages
Go,Golang,Programming Languages
Scala,,Programming Languages
Julia,,Programming Languages
SQL,Structured Query Language,Database Languages
PL/SQL,,Database Languages
T-SQL,,Database Languages
NoSQL,,Database Languages
MongoDB,,Database Languages
PostgreSQL,,Database Languages
MySQL,,Database Languages
SQLite,,Database Languages
Oracle Database,,Database Languages
Redis,,Database Languages
Elasticsearch,,Database Languages
Apache Hive,,Database Languages
Apache HBase,,Database Languages
Apache Cassandra,,Database Languages
Apache Spark,,Data Frameworks
Apache Hadoop,,Data Frameworks
Apache Flink,,Data Frameworks
Apache Beam,,Data Frameworks
Apache Airflow,,Data Frameworks
dbt,data build tool,Data Frameworks
Pandas,,Python Libraries
Dask,,Data Frameworks
Vaex,,Data Frameworks
Modin,,Data Frameworks
Power BI,,Analytics Tech
Tableau,,Analytics Tech
Looker,,Analytics Tech
Google Data Studio,,Analytics Tech
Qlik,,Analytics Tech
SAP BusinessObjects,,Analytics Tech
Alteryx,,Analytics Tech
Sisense,,Analytics Tech
MicroStrategy,,Analytics Tech
SAS,Statistical Analysis System,Analytics Tech
SPSS,Statistical Package for the Social Sciences,Analytics Tech
MATLAB,,Analytics Tech
Stata,,Analytics Tech
Jupyter,,Analytics Tech
Excel,,Analytics Tech
Google Sheets,,Analytics Tech
Artificial Intelligence,AI,Core Concepts
Machine Learning,ML,Core Concepts
Deep Learning,DL,Core Concepts
Artificial General Intelligence,AGI,Core Concepts
Reinforcement Learning,RL,Core Concepts
Generative AI,,Core Concepts
Explainable AI,XAI,Core Concepts
Federated Learning,,Core Concepts
Edge AI,,Core Concepts
Quantum Machine Learning,QML,Core Concepts
Supervised Learning,,Learning Paradigms
Unsupervised Learning,,Learning Paradigms
Semi-supervised Learning,,Learning Paradigms
Self-supervised Learning,,Learning Paradigms
Transfer Learning,,Learning Paradigms
Few-shot Learning,,Learning Paradigms
Zero-shot Learning,,Learning Paradigms
Multi-task Learning,MTL,Learning Paradigms
Online Learning,,Learning Paradigms
Active Learning,,Learning Paradigms
Curriculum Learning,,Learning Paradigms
Meta Learning,Learning to Learn,Learning Paradigms
Neural Networks,NN,Neural Architectures
Convolutional Neural Networks,CNNs,Neural Architectures
Recurrent Neural Networks,RNNs,Neural Architectures
Long Short-Term Memory,LSTM,Neural Architectures
Gated Recurrent Unit,GRU,Neural Architectures
Transformer Models,,Neural Architectures
Generative Adversarial Networks,GANs,Neural Architectures
Variational Autoencoders,VAEs,Neural Architectures
U-Net,,Neural Architectures
ResNet,Residual Networks,Neural Architectures
DenseNet,Densely Connected Networks,Neural Architectures
EfficientNet,,Neural Architectures
Vision Transformer,ViT,Neural Architectures
Swin Transformer,,Neural Architectures
ConvNeXt,,Neural Architectures
Large Language Models,LLMs,Language Models
GPT,Generative Pre-trained Transformer,Language Models
BERT,Bidirectional Encoder Representations from Transformers,Language Models
RoBERTa,Robustly Optimized BERT Pretraining Approach,Language Models
T5,Text-to-Text Transfer Transformer,Language Models
BART,Bidirectional and Auto-Regressive Transformers,Language Models
LLaMA,Large Language Model Meta AI,Language Models
Gemini,,Language Models
Claude,,Language Models
PaLM,Pathways Language Model,Language Models
Codex,,Language Models
InstructGPT,,Language Models
ChatGPT,,Language Models
Qwen,,Language Models
DeepSeek,,Language Models
Perplexity,,Language Models
Computer Vision,CV,Computer Vision
Image Classification,,Computer Vision
Object Detection,,Computer Vision
Image Segmentation,,Computer Vision
Instance Segmentation,,Computer Vision
Semantic Segmentation,,Computer Vision
Panoptic Segmentation,,Computer Vision
Face Recognition,,Computer Vision
Face Detection,,Computer Vision
Optical Character Recognition,OCR,Computer Vision
Image Generation,,Computer Vision
Style Transfer,,Computer Vision
Image Super-resolution,,Computer Vision
Video Analysis,,Computer Vision
3D Vision,,Computer Vision
Natural Language Processing,NLP,Natural Language Processing
Text Classification,,Natural Language Processing
Named Entity Recognition,NER,Natural Language Processing
Sentiment Analysis,,Natural Language Processing
Machine Translation,,Natural Language Processing
Question Answering,QA,Natural Language Processing
Text Summarization,,Natural Language Processing
Text Generation,,Natural Language Processing
Language Modeling,,Natural Language Processing
Part-of-Speech Tagging,POS Tagging,Natural Language Processing
Dependency Parsing,,Natural Language Processing
Coreference Resolution,,Natural Language Processing
Information Extraction,IE,Natural Language Processing
Text Mining,,Natural Language Processing
Dialogue Systems,,Natural Language Processing
Speech Recognition,ASR,Speech & Audio
Text-to-Speech,TTS,Speech & Audio
Speech Synthesis,,Speech & Audio
Speaker Recognition,,Speech & Audio
Speaker Diarization,,Speech & Audio
Audio Classification,,Speech & Audio
Music Generation,,Speech & Audio
Audio Enhancement,,Speech & Audio
Voice Cloning,,Speech & Audio
Emotion Recognition,,Speech & Audio
Accent Recognition,,Speech & Audio
Audio Segmentation,,Speech & Audio
Music Information Retrieval,MIR,Speech & Audio
Audio Fingerprinting,,Speech & Audio
Speech Enhancement,,Speech & Audio
Linear Regression,,Traditional ML
Logistic Regression,,Traditional ML
Decision Trees,,Traditional ML
Random Forests,,Traditional ML
Gradient Boosting,,Traditional ML
XGBoost,Extreme Gradient Boosting,Traditional ML
LightGBM,Light Gradient Boosting Machine,Traditional ML
CatBoost,,Traditional ML
Support Vector Machines,SVM,Traditional ML
k-Nearest Neighbors,k-NN,Traditional ML
Naive Bayes,,Traditional ML
K-means Clustering,,Traditional ML
Hierarchical Clustering,,Traditional ML
Principal Component Analysis,PCA,Traditional ML
Singular Value Decomposition,SVD,Traditional ML
TensorFlow,,Python Libraries
PyTorch,,Python Libraries
Scikit-learn,,Python Libraries
Keras,,Python Libraries
XGBoost,,Python Libraries
LightGBM,,Python Libraries
